,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
0,5122176.16018829,690413.302869405,16691608.8056291,5493224.92261964,773513.017926939,4654558.08222893,646611.766864138,545435.390203908,659962.603657258,1734824.90119214
1,706564.815160315,2248698.58300725,14754589.3841409,3929395.87470663,219425.600887823,3057543.38707852,1319504.25999787,598091.626155897,1051433.46099583,3103065.01855593
2,975331.83178583,2099828.21846764,7199102.66778694,3172719.51889959,533838.401581657,1295460.50396986,1845177.56487599,616741.079652134,1911486.21372666,4700389.01971383
3,5306069.6290215,6084091.52236234,10717502.4860066,2967450.83218908,934276.321529966,3156118.99634897,1090311.82998593,760238.557144844,2756657.48974198,3773279.05081112
4,4027405.41602819,8575906.96259517,7068222.14261672,7906163.41772126,522765.62115339,4629585.78196235,1091227.95841652,373235.663860944,2170211.10577984,6074135.12548178
5,1880462.60348533,4948376.11533823,8182257.00769971,3977683.54664367,379827.945823791,3451968.81821264,864967.631731873,395639.91984408,3570874.90087999,2655557.61620758
6,2298842.04589135,3879279.29338079,10197096.1433088,2892522.88492516,466994.603047585,4731219.02675996,1358913.76153424,451492.141349758,2301160.35403754,7426162.27467145
7,2849062.55863419,6341127.87831628,6229724.25494957,3680946.52663918,535438.095689425,3791746.95720937,1116703.06576427,367988.774858924,2708058.7190226,3980606.26584575
8,4093723.65784162,4612944.60260702,4232504.71806336,5356528.30736869,409855.085679932,3536970.3621615,1333066.11767235,500656.213746911,1053815.8513643,3203116.95525073
9,2808175.66604079,5100081.28405528,7016462.85672487,9110640.66483078,237284.036309843,4261002.87960451,589891.427906328,346107.938415751,1343602.24542626,4520391.58907124
10,8164547.86953675,5151002.52773739,5099226.07802305,6599364.84900766,589334.389551538,3571496.25927464,1089007.51631692,244228.148661732,1521541.93822738,3795321.79283985
11,2908167.32192915,10666541.6274958,7791789.30320774,14433857.96355,463012.772435862,4219459.32771318,1588492.70271798,414528.804474591,1723655.84785614,4347808.20973248
12,2760962.53895594,4239803.23332365,9668614.26839562,2821290.76503235,312806.049064414,3967530.16876643,1741358.50597299,511708.04206173,2690034.62525976,2830963.8430207
13,1775062.97793579,9032381.51681752,14705890.9832258,2099039.16116166,673320.614988633,8585532.42526849,734917.807155333,626419.743176305,2073598.44887626,7263761.13465459
14,6064200.75393874,5142196.25772515,7410648.61960789,4322084.50267827,330637.312621353,5837602.5668032,875900.008493432,831396.616051523,566935.071762829,3282900.9147406
15,8494274.73238926,2932880.51197492,7417241.05892734,3443696.31120892,349721.840543395,2855927.52046317,1079022.50891558,503128.602358037,769496.385219065,5643547.64526177
16,9673273.5914109,1123924.95671629,8632559.10005075,6125239.98925556,305653.984734919,5504444.29828923,714416.858381078,247381.632948159,2516694.74682032,8873187.63045824
17,7991153.67927067,1243831.79742485,4567255.4349722,4530832.03400059,618804.383920456,3484267.54761305,1229032.0356795,809582.824236556,1386161.51409438,4882029.86110527
18,4489205.38684566,1129986.16076126,3261477.24948791,2216048.62719735,336443.327785687,5592472.95958051,594102.849614292,534027.19919318,1451016.5097061,3842320.54154124
19,975620.937916428,2064382.58737343,10270206.248898,6020403.30699593,982572.029976519,5335476.71317995,483104.462379449,699942.420299512,1191417.07778348,6264002.18255134
20,4171870.89332329,2157498.3806044,13232915.5263449,2036020.06053755,541074.253191803,5193540.77033518,652492.92814954,611783.062763885,1930181.42097708,8412685.71984826
21,2356497.04631984,1743374.86240247,13962583.1555654,3629477.44868809,487015.772028802,5109683.51304752,3467104.35165886,1044468.8070124,1653716.99593789,6053389.3353209
22,5120616.73096726,1934037.42711805,4724822.83392405,2809156.15953185,453502.204064063,8573335.07096135,1517414.61313907,580435.781326192,1462852.58948873,4535476.64052536
23,3869851.49807635,2910379.53664176,4833095.85820128,3562808.65134654,1027094.38227786,6810465.17481404,972968.754623821,775669.304010991,875343.123067506,9543746.18382126
24,1491684.09030384,884842.259202616,7075577.50825556,3266915.29112373,1008523.756597,5111154.88613984,2871451.85932425,274636.580431373,2743543.35700225,4366434.44912538
25,2688968.77803436,1277599.76563685,6570392.72222689,3242406.46121782,270966.866685255,5136063.76734735,1174517.42791504,541005.16764964,1960302.04141535,5217414.57993017
26,5610019.91593433,1185282.53702715,8203086.24468298,2552081.98768699,372751.894178715,5004837.50719027,637274.050250555,791909.362610801,807585.511096988,5664706.86234407
